"species","p_value","LBD","LBD_control","qval"
"Blautia_hansenii","0.701939162602201",0.12,0.2,1
"GGB33512_SGB15202","0.348675640468953",0.16,0.04,1
"Ruminococcus_callidus","0.667100882906354",0.08,0.16,1
"Vescimonas_SGB15087","1",0.12,0.08,1
"Clostridium_saudiense","0.41742654508612",0.08,0.2,1
"GGB3256_SGB4303","0.4962044870325",0.28,0.16,1
"Segatella_copri","0.667100882906354",0.16,0.08,1
"GGB9563_SGB14975","1",0.08,0.12,1
"GGB4605_SGB6376","0.667100882906354",0.16,0.08,1
"Parabacteroides_johnsonii","1",0.12,0.16,1
"GGB9724_SGB15278","0.348675640468953",0.04,0.16,1
"Fumia_xinanensis","0.0982776089159067",0.04,0.24,1
"Akkermansia_sp_KLE1798","1",0.08,0.12,1
"Enterocloster_aldenensis","1",0.2,0.16,1
"GGB9524_SGB14923","0.725202447472273",0.16,0.24,1
"GGB36267_SGB14177","0.41742654508612",0.2,0.08,1
"Actinomyces_sp_ph3","1",0.08,0.12,1
"GGB3602_SGB4865","0.701939162602201",0.12,0.2,1
"GGB45503_SGB63175","0.348675640468953",0.04,0.16,1
"Coprococcus_sp_AF21_14LB","1",0.08,0.12,1
"GGB3000_SGB3991","1",0.12,0.08,1
"GGB3277_SGB4327","1",0.12,0.08,1
"GGB1661_SGB2275","1",0.12,0.08,1
"GGB9501_SGB14898","0.41742654508612",0.08,0.2,1
"Faecalibacillus_faecis","1",0.12,0.08,1
"GGB3818_SGB5183","1",0.16,0.12,1
