"species","p_value","iRBD","iRBD_control","qval"
"GGB3534_SGB4722","0.473684210526316",0,0.2,1
"GGB3352_SGB62935","0.582043343653251",0.3,0.1,1
"Neobittarella_massiliensis","1",0.1,0.2,1
"GGB2998_SGB3989","0.473684210526316",0,0.2,1
"GGB3677_SGB4990","1",0.1,0.2,1
"Bacteroides_faecis","1",0.2,0.1,1
"Tyzzerella_SGB4587","0.473684210526316",0.2,0,1
"Catenibacterium_tridentinum","1",0.1,0.1,1
"Dielma_fastidiosa","0.473684210526316",0,0.2,1
"Actinomyces_sp_ICM47","0.210526315789474",0,0.3,1
"GGB3576_SGB4784","0.473684210526316",0.2,0,1
"Bifidobacterium_bifidum","0.303405572755418",0.4,0.1,1
"GGB41473_SGB58537","0.473684210526316",0.2,0,1
"GGB3585_SGB4803","1",0.3,0.2,1
"Blautia_hansenii","1",0.1,0.1,1
"GGB4569_SGB6310","0.473684210526316",0,0.2,1
"GGB9608_SGB15041","1",0.1,0.1,1
"GGB4559_SGB6293","1",0.1,0.1,1
"Blautia_schinkii","1",0.1,0.1,1
"GGB79087_SGB105683","0.210526315789474",0.3,0,1
"Ruminococcus_callidus","0.303405572755418",0.4,0.1,1
"GGB9767_SGB15384","1",0.2,0.1,1
"Anaerococcus_obesiensis","1",0.1,0.1,1
"Vescimonas_SGB15087","1",0.2,0.1,1
"Clostridium_saudiense","1",0.3,0.4,1
"GGB9533_SGB14936","0.473684210526316",0.2,0,1
"GGB3256_SGB4303","0.169802333889021",0.6,0.2,1
"Segatella_copri","0.582043343653251",0.3,0.1,1
"GGB4571_SGB6317","0.582043343653251",0.1,0.3,1
"GGB9563_SGB14975","1",0.1,0.1,1
"GGB9758_SGB15368","0.473684210526316",0,0.2,1
"GGB4605_SGB6376","0.473684210526316",0,0.2,1
"Blautia_SGB101324","1",0.1,0.1,1
"GGB51269_SGB5062","1",0.1,0.1,1
"GGB6601_SGB9333","0.582043343653251",0.1,0.3,1
"Parabacteroides_johnsonii","1",0.1,0.2,1
"GGB9623_SGB15075","0.473684210526316",0.2,0,1
"GGB9185_SGB14124","0.473684210526316",0.2,0,1
"Akkermansia_sp_KLE1798","1",0.2,0.2,1
"GGB4239_SGB5731","0.473684210526316",0.2,0,1
"Enterocloster_aldenensis","0.582043343653251",0.1,0.3,1
"GGB9524_SGB14923","0.210526315789474",0,0.3,1
"GGB36267_SGB14177","0.582043343653251",0.3,0.1,1
"Veillonella_parvula","0.473684210526316",0,0.2,1
"GGB3602_SGB4865","0.473684210526316",0.2,0,1
"Coprococcus_sp_AF21_14LB","1",0.2,0.1,1
"GGB3058_SGB4060","1",0.1,0.1,1
"Collinsella_sp_AF08_23","1",0.1,0.1,1
"GGB3722_SGB5050","1",0.2,0.1,1
"GGB3000_SGB3991","0.473684210526316",0.2,0,1
"GGB1266_SGB1699","1",0.1,0.2,1
"GGB9359_SGB14334","0.628482972136223",0.4,0.2,1
"Muribaculum_gordoncarteri","1",0.1,0.1,1
"Faecalicatena_SGB4873","1",0.1,0.1,1
"Klebsiella_pneumoniae","1",0.2,0.1,1
"GGB9715_SGB15266","0.473684210526316",0.2,0,1
"GGB9616_SGB15051","1",0.1,0.1,1
"GGB1549_SGB2133","1",0.1,0.1,1
"GGB27848_SGB40282","0.473684210526316",0.2,0,1
"GGB3612_SGB4882","1",0.3,0.3,1
"Sanguibacteroides_justesenii","1",0.1,0.1,1
"GGB9595_SGB15019","0.473684210526316",0.2,0,1
"GGB9266_SGB14216","0.473684210526316",0.2,0,1
"GGB6613_SGB9347","0.210526315789474",0,0.3,1
"Clostridium_saccharogumia","0.210526315789474",0,0.3,1
"GGB1627_SGB2227","1",0.1,0.1,1
"Mogibacterium_kristiansenii","1",0.1,0.1,1
"Lentihominibacter_SGB71368","1",0.1,0.1,1
"Veillonella_atypica","0.473684210526316",0,0.2,1
"GGB3277_SGB4327","0.473684210526316",0.2,0,1
"Enterococcus_faecalis","0.473684210526316",0.2,0,1
"Flavonifractor_sp_An10","1",0.1,0.1,1
"GGB34197_SGB53486","1",0.1,0.1,1
"Ruminococcus_sp_AF41_9","0.473684210526316",0,0.2,1
"GGB9289_SGB14244","1",0.2,0.2,1
"Propionibacterium_freudenreichii","1",0.2,0.1,1
"GGB9501_SGB14898","1",0.1,0.1,1
"GGB9768_SGB15386","1",0.2,0.1,1
"Faecalibacillus_faecis","0.582043343653251",0.1,0.3,1
"GGB9452_SGB14843","0.473684210526316",0.2,0,1
"bacterium_210820_DFI_6_37","0.210526315789474",0.3,0,1
"Lachnospiraceae_bacterium_EP_SM_12S_S03","0.473684210526316",0,0.2,1
"GGB4585_SGB6340","1",0.1,0.1,1
"Butyricicoccus_intestinisimiae","0.473684210526316",0.2,0,1
"GGB9619_SGB15066","0.582043343653251",0.3,0.1,1
"Enorma_massiliensis","0.473684210526316",0.2,0,1
"GGB74504_SGB48228","1",0.1,0.1,1
"GGB9620_SGB15070","1",0.1,0.1,1
"Clostridium_disporicum","1",0.1,0.1,1
"GGB4604_SGB6371","1",0.1,0.2,1
"Clostridium_SGB47280","1",0.2,0.1,1
"GGB4727_SGB6548","1",0.1,0.1,1
"GGB9548_SGB14955","1",0.1,0.1,1
"GGB4588_SGB6347","1",0.1,0.1,1
"Zhenhengia_yiwuensis","1",0.1,0.1,1
"GGB3303_SGB4364","0.473684210526316",0.2,0,1
"Alistipes_SGB2300","1",0.1,0.1,1
"Clostridium_sp_AM33_3","0.473684210526316",0,0.2,1
"GGB3204_SGB4228","1",0.1,0.1,1
"GGB9412_SGB14768","1",0.1,0.1,1
"GGB9813_SGB15447","1",0.1,0.1,1
"GGB9091_SGB14020","0.473684210526316",0,0.2,1
