"species","p_value","iRBD","iRBD_control","qval"
"GGB9765_SGB15382","1",0.4,0.3,1
"GGB9708_SGB15233","0.628482972136223",0.4,0.2,1
"Blautia_stercoris","0.628482972136223",0.4,0.2,1
"Bacteroides_cellulosilyticus","1",0.4,0.4,1
"Negativibacillus_massiliensis","0.140866873065015",0.5,0.1,1
"GGB13489_SGB15224","0.303405572755418",0.4,0.1,1
"Alistipes_senegalensis","0.582043343653251",0.1,0.3,1
"GGB9699_SGB15216","0.0572755417956657",0.9,0.4,1
"Enterocloster_hominis","0.649916646820672",0.7,0.5,1
"GGB9788_SGB15411","0.582043343653251",0.3,0.1,1
"GGB6649_SGB9391","0.473684210526316",0.2,0,1
"GGB9635_SGB15106","1",0.4,0.4,1
"GGB2982_SGB3964","1",0.5,0.4,1
"Turicibacter_sanguinis","1",0.3,0.4,1
"Bacteroides_finegoldii","1",0.4,0.3,1
"GGB9602_SGB15028","1",0.1,0.1,1
"Blautia_SGB4815","1",0.7,0.8,1
"Ruminococcus_lactaris","1",0.4,0.5,1
"GGB3497_SGB4672","0.303405572755418",0.4,0.1,1
"Eubacterium_ventriosum","0.656281798696659",0.6,0.4,1
"GGB9782_SGB15403","1",0.3,0.2,1
"Faecalibacterium_sp_HTFF","1",0.6,0.6,1
"Intestinimonas_massiliensis","0.628482972136223",0.4,0.2,1
"GGB3109_SGB4121","1",0.8,0.7,1
"Alistipes_ihumii","0.303405572755418",0.1,0.4,1
"GGB9502_SGB14899","1",0.7,0.6,1
"Lachnospiraceae_bacterium_OF09_6","0.473684210526316",0.2,0,1
"Roseburia_lenta","1",0.3,0.3,1
"Yanshouia_hominis","0.582043343653251",0.3,0.1,1
"Lawsonibacter_hominis","1",0.4,0.3,1
"Clostridium_sp_AM49_4BH","0.369849964277209",0.6,0.3,1
"GGB9240_SGB14182","1",0.3,0.2,1
"GGB9365_SGB14341","0.369849964277209",0.6,0.3,1
"GGB9770_SGB15390","0.369849964277209",0.7,0.4,1
"GGB33586_SGB53517","1",0.2,0.3,1
"Parasutterella_excrementihominis","0.628482972136223",0.4,0.2,1
"Blautia_sp_OF03_15BH","0.34984520123839",0.5,0.2,1
"Roseburia_inulinivorans","0.582043343653251",0.9,0.7,1
"GGB9759_SGB15370","1",0.2,0.2,1
"Ruminococcus_gnavus","0.649916646820672",0.5,0.7,1
"Lentihominibacter_faecis","0.582043343653251",0.9,0.7,1
"GGB4750_SGB6579","1",0.1,0.1,1
"GGB9109_SGB14042","1",0.1,0.1,1
"GGB51959_SGB72479","0.582043343653251",0.3,0.1,1
"Hydrogenoanaerobacterium_saccharovorans","1",0.3,0.4,1
"Butyricimonas_paravirosa","0.582043343653251",0.3,0.1,1
"GGB9787_SGB15410","1",0.1,0.1,1
"Clostridium_fessum","0.369849964277209",0.7,0.4,1
"Lawsonibacter_asaccharolyticus","0.582043343653251",0.9,0.7,1
"GGB9198_SGB14137","1",0.2,0.2,1
"Mediterraneibacter_butyricigenes","0.178895407997575",0.7,0.3,1
"GGB43675_SGB61016","0.473684210526316",0.2,0,1
"Pseudoruminococcus_massiliensis","1",0.2,0.3,1
"Clostridium_spiroforme","0.628482972136223",0.2,0.4,1
"GGB9296_SGB14253","0.582043343653251",0.3,0.1,1
"GGB9786_SGB15409","0.086687306501548",0.4,0,1
"GGB9667_SGB15164","1",0.4,0.3,1
"Christensenellaceae_bacterium","0.086687306501548",0.4,0,1
"Bifidobacterium_longum","1",0.6,0.7,1
"GGB9522_SGB14921","0.369849964277209",0.6,0.3,1
"GGB3510_SGB4687","0.0572755417956657",0.6,0.1,1
"Fusicatenibacter_sp_CLA_AA_H277","0.628482972136223",0.6,0.8,1
"GGB9641_SGB15117","1",0.3,0.4,1
"GGB45495_SGB63167","1",0.3,0.4,1
"GGB10692_SGB17347","1",0.1,0.2,1
"GGB9760_SGB15373","1",0.4,0.4,1
"Cloacibacillus_evryensis","1",0.3,0.2,1
"GGB3475_SGB4638","1",0.3,0.4,1
"GGB3619_SGB4894","1",0.4,0.4,1
"Roseburia_sp_AF02_12","0.34984520123839",0.5,0.2,1
"Ruthenibacterium_lactatiformans",NA,1,1,NA
"GGB38744_SGB14842","1",0.5,0.5,1
"Blautia_faecicola","1",0.2,0.2,1
"Candidatus_Gastranaerophilales_bacterium","1",0.1,0.1,1
"Phocaeicola_dorei","1",0.6,0.6,1
"GGB9627_SGB15081","0.473684210526316",0.2,0,1
"GGB33544_SGB53490","0.210526315789474",0.3,0,1
"Anaeromassilibacillus_senegalensis","0.0572755417956657",0.9,0.4,1
"Neglectibacter_timonensis","1",0.7,0.6,1
"Clostridiaceae_unclassified_SGB4771","1",0.1,0.1,1
"Turicibacter_bilis","0.649916646820672",0.5,0.3,1
"Faecalibacterium_sp_CLA_AA_H233","1",0.2,0.2,1
"Fournierella_massiliensis","1",0.2,0.1,1
"GGB45432_SGB63101","1",0.9,0.8,1
"GGB9059_SGB13976","0.628482972136223",0.4,0.2,1
"Clostridiales_bacterium_Marseille_P2846","1",0.1,0.2,1
"Lachnospiraceae_bacterium_AM48_27BH","0.086687306501548",0,0.4,1
"Marvinbryantia_SGB4691","0.473684210526316",0,0.2,1
"Wansuia_hejianensis","0.473684210526316",1,0.8,1
"Anaerotruncus_massiliensis","0.628482972136223",0.4,0.2,1
"GGB9784_SGB15407","1",0.2,0.1,1
"Lachnospiraceae_bacterium_CLA_AA_H215","1",0.2,0.1,1
"Holdemania_filiformis","0.140866873065015",0.5,0.1,1
"Sutterella_wadsworthensis","1",0.1,0.1,1
"Alistipes_finegoldii","0.303405572755418",0.9,0.6,1
"Provencibacterium_massiliense","0.628482972136223",0.4,0.2,1
"GGB9646_SGB15123","1",0.1,0.1,1
"Gordonibacter_urolithinfaciens","1",0.5,0.4,1
"GGB2653_SGB3574","0.0572755417956657",0.9,0.4,1
"GGB4684_SGB6478","1",0.1,0.1,1
"GGB9775_SGB15395","0.628482972136223",0.2,0.4,1
"Anaerotignum_faecicola","0.628482972136223",0.8,0.6,1
"Faecalicatena_contorta","0.649916646820672",0.7,0.5,1
"Congzhengia_minquanensis","0.473684210526316",0,0.2,1
"GGB51441_SGB71759","1",0.4,0.3,1
"Eubacteriaceae_bacterium","0.178895407997575",0.7,0.3,1
"Eubacterium_sp_AF16_48","1",0.3,0.4,1
"Flavonifractor_plautii","0.178895407997575",0.3,0.7,1
"Desulfovibrio_desulfuricans","1",0.2,0.2,1
"GGB13404_SGB14252","0.582043343653251",0.3,0.1,1
"Streptococcus_mitis","0.473684210526316",0,0.2,1
"GGB9237_SGB14179","0.473684210526316",0.2,0,1
"GGB3480_SGB4648","1",0.3,0.3,1
"GGB45491_SGB63163","0.628482972136223",0.4,0.2,1
"GGB9301_SGB14262","1",0.1,0.2,1
"Clostridiaceae_bacterium_Marseille_Q4143","1",0.1,0.2,1
"GGB3353_SGB4437","1",0.1,0.2,1
"Clostridium_leptum","0.086687306501548",1,0.6,1
"Yeguia_hominis","0.582043343653251",0.3,0.1,1
"GGB9707_SGB15229","0.628482972136223",0.4,0.2,1
"Eubacterium_ramulus","0.369849964277209",0.7,0.4,1
"GGB2980_SGB3962","1",0.6,0.5,1
"Mediterraneibacter_massiliensis","0.582043343653251",0.1,0.3,1
"Anaerofilum_hominis","0.582043343653251",0.3,0.1,1
"Oscillospiraceae_bacterium_Marseille_Q3528","1",0.5,0.6,1
"GGB9343_SGB14307","1",0.3,0.2,1
"Blautia_hydrogenotrophica","0.656281798696659",0.4,0.6,1
"Clostridium_sp_Marseille_P3244","0.649916646820672",0.5,0.3,1
"GGB9618_SGB15064","0.473684210526316",0.2,0,1
"GGB9712_SGB15244","1",0.1,0.1,1
"Bittarella_massiliensis","0.086687306501548",0.4,0,1
"Roseburia_sp_BX1005","1",0.3,0.2,1
"Hungatella_hathewayi","0.169802333889021",0.2,0.6,1
"Clostridiaceae_bacterium_AF18_31LB","1",0.1,0.1,1
"GGB9512_SGB14909","1",0.5,0.4,1
"Anaerotruncus_rubiinfantis","0.582043343653251",0.3,0.1,1
"Schaalia_odontolytica","1",0.3,0.2,1
"GGB42378_SGB59548","1",0.1,0.1,1
"Christensenella_minuta","0.303405572755418",0.4,0.1,1
"Intestinimonas_butyriciproducens","1",0.3,0.3,1
"Enterocloster_lavalensis","0.582043343653251",0.1,0.3,1
"Clostridiales_bacterium","1",0.2,0.2,1
"GGB5980_SGB8599","0.473684210526316",0,0.2,1
"GGB9063_SGB13982","0.473684210526316",0,0.2,1
"GGB9545_SGB14952","1",0.3,0.4,1
"GGB9480_SGB14874","1",0.2,0.2,1
"Eggerthella_lenta","1",0.7,0.6,1
"Oliverpabstia_intestinalis","0.582043343653251",0.9,0.7,1
"Ruminococcus_bicirculans","1",0.5,0.6,1
"Phascolarctobacterium_faecium","1",0.5,0.6,1
"Roseburia_hominis","0.582043343653251",0.7,0.9,1
"GGB9634_SGB15093","1",0.3,0.2,1
"Erysipelatoclostridium_ramosum","0.210526315789474",0,0.3,1
"GGB74511_SGB47635","0.649916646820672",0.5,0.3,1
"Roseburia_sp_AM59_24XD","1",0.1,0.1,1
"Vescimonas_coprocola","0.0572755417956657",0.4,0.9,1
"Frisingicoccus_SGB4674","1",0.1,0.2,1
"bacterium_210917_DFI_7_65","0.473684210526316",0,0.2,1
"Blautia_sp_MCC283","1",0.4,0.4,1
"Bacteroides_nordii","1",0.1,0.2,1
"GGB9453_SGB14844","0.656281798696659",0.6,0.4,1
"Streptococcus_thermophilus","1",0.9,0.8,1
"GGB74505_SGB47518","1",0.1,0.1,1
"GGB9715_SGB15265","1",0.2,0.2,1
"Roseburia_intestinalis","1",0.7,0.8,1
"Clostridia_bacterium_UC5_1_1D1","0.140866873065015",0.1,0.5,1
"GGB9762_SGB15377","1",0.1,0.1,1
"Intestinimonas_gabonensis","1",0.2,0.1,1
"Longicatena_caecimuris","0.303405572755418",0.1,0.4,1
"GGB9412_SGB14770","1",0.3,0.4,1
"Lachnospiraceae_bacterium_OM04_12BH","0.473684210526316",0.2,0,1
"GGB9547_SGB14954","1",0.2,0.1,1
"GGB9719_SGB15273","1",0.4,0.4,1
"Bacteroides_xylanisolvens","0.628482972136223",0.8,0.6,1
"GGB2998_SGB3988","0.582043343653251",0.1,0.3,1
"GGB9559_SGB14969","0.628482972136223",0.2,0.4,1
"GGB2958_SGB3940","1",0.1,0.2,1
"GGB3005_SGB3996","1",0.2,0.3,1
"Mediterraneibacter_glycyrrhizinilyticus","1",0.3,0.4,1
"Cuneatibacter_sp_NSJ_177","0.0572755417956657",0.9,0.4,1
"Lactococcus_lactis","1",0.4,0.3,1
"GGB2848_SGB3813","1",0.3,0.2,1
"Bianquea_SGB71281","1",0.1,0.1,1
"Holdemania_sp_1001095H_141210_F2","0.628482972136223",0.4,0.2,1
"GGB3061_SGB4063","0.169802333889021",0.6,0.2,1
"GGB3537_SGB4727","1",0.3,0.3,1
"Massiliimalia_massiliensis","1",0.3,0.2,1
"Clostridium_sp_AM22_11AC","1",0.5,0.5,1
"GGB74463_SGB54347","0.473684210526316",0.2,0,1
"Enterocloster_bolteae","0.140866873065015",0.1,0.5,1
"Streptococcus_australis","0.210526315789474",0,0.3,1
"Anaerofustis_stercorihominis","0.140866873065015",0.5,0.1,1
"Massiliimalia_timonensis","0.0572755417956657",0.6,0.1,1
"Lentihominibacter_hominis","1",0.1,0.1,1
"Bifidobacterium_pseudocatenulatum","0.303405572755418",0.4,0.1,1
"Phocaeicola_coprocola","1",0.1,0.1,1
"Dialister_invisus","1",0.4,0.3,1
"Phocaeicola_plebeius","1",0.1,0.1,1
"Evtepia_gabavorous","1",0.7,0.8,1
"Gordonibacter_pamelaeae","0.369849964277209",0.6,0.3,1
"Hydrogeniiclostridium_mannosilyticum","1",0.2,0.1,1
"Clostridium_sp_AT4","1",0.1,0.1,1
"Slackia_piriformis","0.473684210526316",0,0.2,1
"Eisenbergiella_massiliensis","0.303405572755418",0.1,0.4,1
"GGB9186_SGB14125","1",0.2,0.1,1
"GGB3819_SGB5184","0.628482972136223",0.4,0.2,1
"Streptococcus_parasanguinis","0.628482972136223",0.6,0.8,1
"GGB3433_SGB4574","1",0.2,0.2,1
"GGB2987_SGB3969","0.582043343653251",0.3,0.1,1
"GGB3511_SGB4688","1",0.2,0.1,1
"Intestinibacter_bartlettii","1",0.2,0.3,1
"Pseudoflavonifractor_phocaeensis","1",0.1,0.1,1
"GGB3550_SGB4746","1",0.1,0.1,1
"Sellimonas_intestinalis","0.34984520123839",0.2,0.5,1
"Guopingia_tenuis","0.628482972136223",0.4,0.2,1
"Zhenpiania_hominis","1",0.5,0.5,1
"Mediterraneibacter_sp_NSJ_151","0.473684210526316",0.2,0,1
"Schaalia_SGB17153","1",0.1,0.2,1
"Phocea_massiliensis","1",0.1,0.1,1
"Lacrimispora_amygdalina","0.628482972136223",0.2,0.4,1
"bacterium_210917_SL_2_15","1",0.1,0.1,1
"Diplocloster_agilis","1",0.2,0.1,1
"Blautia_caecimuris","1",0.4,0.5,1
"Anaerotruncus_colihominis","0.582043343653251",0.1,0.3,1
"Anaerovorax_odorimutans","0.0572755417956657",0.6,0.1,1
"Christensenella_hongkongensis","0.303405572755418",0.4,0.1,1
"Lachnotalea_sp_AF33_28","0.628482972136223",0.2,0.4,1
"Schaalia_SGB17154","1",0.2,0.3,1
"Luoshenia_tenuis","0.0108359133126935",0.6,0,1
"Massilistercora_timonensis","1",0.5,0.5,1
"GGB31234_SGB14869","1",0.1,0.2,1
"Clostridium_innocuum","1",0.4,0.5,1
"Actinomyces_oris","0.582043343653251",0.3,0.1,1
"Massilioclostridium_coli","1",0.3,0.4,1
"GGB4456_SGB6141","1",0.1,0.1,1
"Eisenbergiella_tayi","1",0.4,0.5,1
"GGB9534_SGB14937","0.303405572755418",0.4,0.1,1
"Christensenella_timonensis","0.210526315789474",0.3,0,1
"GGB9469_SGB14862","0.582043343653251",0.1,0.3,1
"Clostridium_symbiosum","0.303405572755418",0.1,0.4,1
"Streptococcus_gordonii","1",0.1,0.1,1
"Firmicutes_bacterium","1",0.1,0.1,1
"GGB55957_SGB77276","0.473684210526316",0,0.2,1
"GGB9491_SGB14888","1",0.1,0.2,1
"GGB58158_SGB79798","1",0.1,0.1,1
"Enterocloster_citroniae","1",0.1,0.2,1
"Pseudoflavonifractor_capillosus","0.582043343653251",0.3,0.1,1
"Veillonella_dispar","0.582043343653251",0.1,0.3,1
"Bacteroides_eggerthii","1",0.1,0.1,1
"GGB3167_SGB4181","1",0.1,0.2,1
"Phocaeicola_massiliensis","1",0.4,0.3,1
"Lachnospira_sp_NSJ_43","0.582043343653251",0.1,0.3,1
"GGB3538_SGB4728","0.473684210526316",0,0.2,1
"Eubacterium_sp_AF34_35BH","1",0.2,0.1,1
"GGB52106_SGB72838","1",0.1,0.1,1
"GGB3321_SGB4394","0.473684210526316",0,0.2,1
"Alistipes_timonensis","1",0.2,0.1,1
"Alistipes_indistinctus","0.169802333889021",0.6,0.2,1
"Blautia_producta","1",0.4,0.4,1
"Collinsella_tanakaei","1",0.2,0.2,1
"Enterocloster_asparagiformis","1",0.1,0.2,1
"Ruminococcus_gauvreauii","0.473684210526316",0.2,0,1
"Emergencia_timonensis","1",0.2,0.1,1
"Collinsella_stercoris","1",0.1,0.1,1
"Lachnoclostridium_sp_An131","0.473684210526316",0.2,0,1
"Clostridium_sp_AF20_17LB","0.473684210526316",0,0.2,1
"GGB3433_SGB4573","0.649916646820672",0.3,0.5,1
"GGB9715_SGB15267","1",0.3,0.4,1
"GGB47687_SGB2286","1",0.1,0.1,1
"Parasutterella_SGB9260","0.473684210526316",0,0.2,1
"Bacteroides_fragilis","0.628482972136223",0.2,0.4,1
"GGB3001_SGB3992","1",0.1,0.1,1
"GGB3518_SGB4697","1",0.2,0.2,1
"Alistipes_sp_AF17_16","0.628482972136223",0.4,0.2,1
"Rothia_mucilaginosa","0.628482972136223",0.2,0.4,1
"Massilimicrobiota_timonensis","1",0.3,0.2,1
"GGB9509_SGB14906","0.210526315789474",0,0.3,1
"Lactococcus_cremoris","1",0.1,0.1,1
"Bacteroides_intestinalis","1",0.4,0.3,1
"GGB9537_SGB14940","0.473684210526316",0.2,0,1
"GGB9238_SGB14180","1",0.3,0.2,1
"GGB3550_SGB4747","0.210526315789474",0.3,0,1
"Catenibacillus_scindens","0.582043343653251",0.3,0.1,1
"GGB9719_SGB15272","1",0.2,0.3,1
"Rothia_SGB49305","1",0.1,0.2,1
"Intestinimonas_sp_MSJ_38","0.303405572755418",0.4,0.1,1
"Actinomyces_graevenitzii","1",0.2,0.1,1
"GGB45497_SGB63169","1",0.1,0.2,1
"GGB3583_SGB4799","0.473684210526316",0.2,0,1
"GGB3491_SGB4665","1",0.2,0.1,1
"Streptococcus_oralis","1",0.1,0.2,1
"GGB9495_SGB14892","1",0.2,0.1,1
"GGB42389_SGB59559","1",0.3,0.2,1
"Mediterraneibacter_SGB48424","1",0.1,0.1,1
"Christensenella_sp_Marseille_P3954","0.582043343653251",0.3,0.1,1
"Qiania_dongpingensis","0.473684210526316",0.2,0,1
"Granulicatella_SGB8255","0.473684210526316",0,0.2,1
"GGB3478_SGB4643","0.649916646820672",0.3,0.5,1
"Clostridiaceae_unclassified_SGB15090","0.0325077399380805",0.5,0,1
"Streptococcus_vestibularis","1",0.2,0.2,1
"Desulfovibrio_fairfieldensis","1",0.3,0.2,1
"Oscillospiraceae_unclassified_SGB15256","1",0.1,0.1,1
"Clostridium_scindens","0.649916646820672",0.3,0.5,1
"GGB9640_SGB15115","1",0.1,0.1,1
"GGB4566_SGB6305","1",0.3,0.2,1
"Streptococcus_mutans","1",0.2,0.3,1
"GGB35597_SGB49163","1",0.1,0.1,1
"GGB33469_SGB15237","1",0.2,0.1,1
"Eubacteriales_bacterium","1",0.2,0.2,1
"Enterocloster_clostridioformis","0.086687306501548",0,0.4,1
"Lawsonibacter_faecis","1",0.1,0.1,1
"Clostridium_methylpentosum","1",0.1,0.2,1
"Anaerostipes_caccae","1",0.2,0.1,1
"Streptococcus_anginosus","1",0.1,0.2,1
"GGB3730_SGB5060","0.473684210526316",0.2,0,1
"Simiaoa_sunii","0.628482972136223",0.4,0.2,1
"Bifidobacterium_dentium","1",0.1,0.1,1
"Streptococcus_sanguinis","0.473684210526316",0,0.2,1
"Lactobacillus_gasseri","0.473684210526316",0.2,0,1
"GGB9361_SGB14336","1",0.1,0.1,1
"GGB51647_SGB4348","1",0.2,0.1,1
"Merdimonas_faecis","0.473684210526316",0.2,0,1
"GGB9691_SGB15198","0.473684210526316",0.2,0,1
"GGB9780_SGB15400","1",0.1,0.1,1
"GGB3569_SGB4776","1",0.1,0.1,1
"Actinomyces_bouchesdurhonensis","1",0.2,0.1,1
"Lacticaseibacillus_rhamnosus","0.628482972136223",0.4,0.2,1
"Lacticaseibacillus_paracasei","0.473684210526316",0.2,0,1
"GGB3034_SGB4030","1",0.2,0.2,1
"GGB48165_SGB66168","1",0.3,0.2,1
"GGB3446_SGB4597","1",0.1,0.1,1
"Bifidobacterium_adolescentis","1",0.4,0.3,1
"GGB9551_SGB14958","1",0.1,0.2,1
"GGB44201_SGB61600","1",0.2,0.1,1
"GGB3033_SGB4029","1",0.4,0.4,1
"Oxalobacter_formigenes","1",0.2,0.2,1
"GGB34900_SGB14891","0.649916646820672",0.5,0.3,1
"GGB9770_SGB73065","0.473684210526316",0,0.2,1
"GGB9832_SGB15478","1",0.1,0.2,1
"Kineothrix_SGB4886","1",0.4,0.3,1
"Actinobaculum_sp_oral_taxon_183","0.473684210526316",0.2,0,1
"Schaalia_SGB17158","1",0.2,0.2,1
"Schaalia_SGB17157","0.210526315789474",0.3,0,1
"GGB4745_SGB6571","1",0.1,0.1,1
"Lachnospira_pectinoschiza","1",0.6,0.6,1
"Longibaculum_muris","0.582043343653251",0.3,0.1,1
"Ruminococcus_SGB4421","0.473684210526316",0.2,0,1
"GGB3002_SGB3993","0.086687306501548",0.4,0,1
"Leuconostoc_carnosum","1",0.1,0.1,1
"Bifidobacterium_animalis","1",0.2,0.1,1
"Clostridium_sp_NSJ_42","1",0.1,0.1,1
"GGB52130_SGB14966","0.582043343653251",0.3,0.1,1
"Lactobacillus_delbrueckii","1",0.1,0.1,1
"Faecalimonas_umbilicata","1",0.1,0.2,1
"GGB9790_SGB15413","1",0.1,0.2,1
"GGB3444_SGB4594","0.140866873065015",0.5,0.1,1
"GGB3304_SGB4365","0.473684210526316",0.2,0,1
"Bacteroides_clarus","1",0.1,0.1,1
"GGB9211_SGB14151","1",0.2,0.3,1
"Paraprevotella_clara","0.628482972136223",0.4,0.2,1
"GGB40351_SGB14301","1",0.2,0.3,1
"GGB9469_SGB14863","1",0.1,0.2,1
"Prevotella_pectinovora","1",0.1,0.1,1
"Bacteroides_salyersiae","1",0.4,0.3,1
"GGB3175_SGB4191","0.210526315789474",0.3,0,1
"Dysosmobacter_sp_Marseille_Q4140","1",0.2,0.2,1
"GGB9613_SGB15048","1",0.2,0.1,1
"Wujia_chipingensis","0.582043343653251",0.3,0.1,1
"Clostridium_SGB4750","1",0.3,0.4,1
"Faecalitalea_cylindroides","1",0.1,0.2,1
"Coprococcus_SGB106014","1",0.1,0.1,1
"GGB3486_SGB4658","1",0.1,0.1,1
"GGB3496_SGB4671","1",0.2,0.2,1
"GGB51139_SGB71360","1",0.2,0.1,1
"Dorea_phocaeensis","1",0.2,0.1,1
