"species","lbd_control_BIOME182795","lbd_BIOME186184","lbd_control_BIOME186381","lbd_BIOME186385","median_g1","median_g2","log2fc","p_value","q_value","kingdom","phylum","class","order","family","genus"
"Hungatella_hathewayi",0,0.0255996733729499,0.00928991388219505,0.0148767034102679,0.0094022645386415,0,8.88334434470777,0.0150471588458747,0.491380715359753,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Hungatella"
"Hydrogeniiclostridium_mannosilyticum",0,0,0.0333903355193642,0.0237845876577741,0,0,0,0.758850301908705,0.962780697033068,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Hydrogeniiclostridium"
"Hydrogenoanaerobacterium_saccharovorans",0.0107426506596206,0,0,0.0410907520621692,0,0,0,0.342132567789278,0.796370347750334,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Hydrogenoanaerobacterium"
"Intestinibacter_bartlettii",0,0.0672429311281436,0,0,0,0,0,0.133657432341392,0.637696412218869,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Intestinibacter"
"Intestinimonas_butyriciproducens",0,0,0.00727330347297753,0.0111087831847779,0,0.00993495179365496,-8.96268522511327,0.0125531831253183,0.491380715359753,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Intestinimonas"
"Intestinimonas_gabonensis",0,0,0,0.00875796513884146,0,0,0,0.387102189293325,0.834138454193711,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Intestinimonas"
"Intestinimonas_massiliensis",0,0,0,0,0,0.00834275822374957,-8.7112484418239,0.44405819132297,0.87401473381793,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Intestinimonas"
"Intestinimonas_sp_MSJ_38",0,0,0,0,0,0,0,0.3066237075826,0.772853481174995,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Intestinimonas"
"Kineothrix_SGB4886",0,0,0,0,0,0,0,0.614433604402705,0.924464909205242,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Kineothrix"
"Lachnoclostridium_pacaense",0,0,0,0,0,0,0,0.83778204552488,0.979275237437679,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium"
"Lachnospira_eligens",0,0.00859079916609566,0,0.0247027134816477,0.0111357583159519,0,9.12698831380602,0.0911260509452251,0.584397656614292,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospira"
"Lachnospira_pectinoschiza",0.00939695049260579,0,0,0,0,0,0,0.041612758489321,0.52504790428527,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospira"
"Lachnospira_sp_NSJ_43",0,0,0,0,0,0,0,0.0302272589769781,0.52504790428527,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospira"
"Lachnospiraceae_bacterium",0.0622503524546291,0,0,0,0.0160724038398404,0.0364511887906186,-1.18037975080016,0.658721355841266,0.934628632319285,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Lachnospiraceae_bacterium_CLA_AA_H215",0,0,0,0,0,0,0,0.872076884265905,0.979275237437679,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Lachnospiraceae_bacterium_CLA_AA_H244",0.0151795225315783,0,0,0,0.0140646059988328,0.0256406733666623,-0.86544201169571,0.121068855542004,0.606080673343719,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Lachnospiraceae_bacterium_OF09_6",0,0,0,0,0,0,0,0.773243972106977,0.967512436462237,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Lachnospiraceae_bacterium_OM04_12BH",0,0,0,0,0,0,0,0.231204049577074,0.689408438738912,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Lachnotalea_sp_AF33_28",0,0.0246337747019974,0.00981341483124074,0,0,0,0,0.594613529386713,0.923904603944774,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnotalea"
"Lacrimispora_amygdalina",0,0,0,0,0,0,0,0.805267674274021,0.973609362131882,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lacrimispora"
"Lacticaseibacillus_paracasei",0,0.0247391384324464,0,0,0,0,0,0.529840243263686,0.903021341663971,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lacticaseibacillus"
"Lacticaseibacillus_rhamnosus",0,0,0,0,0,0,0,0.671802693552438,0.935608766239681,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lacticaseibacillus"
"Lactobacillus_gasseri",0,0,0,0,0,0,0,0.206137352341745,0.683379104739591,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Lactococcus_cremoris",0,0,0.0113272023466088,0,0,0,0,0.316273193267237,0.781941764258697,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"Lactococcus_lactis",0.0118451124155184,0.0127714094992799,0.014608737942318,0,0,0,0,0.99266156052765,0.998327945067383,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"Lactonifactor_longoviformis",0,0,0.00803127634303935,0,0,0,0,0.953048028726076,0.998327945067383,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Lactonifactor"
"Lawsonibacter_asaccharolyticus",0.0110907688660446,0,0.0378045104287436,0.0572387640077494,0.0191688511934321,0.0323784787568004,-0.755659184262216,0.0572610308563285,0.52504790428527,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Lawsonibacter"
"Lawsonibacter_faecis",0,0.00810564322068255,0,0,0,0,0,0.0320607498400631,0.52504790428527,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Lawsonibacter"
"Lawsonibacter_hominis",0,0,0,0,0,0,0,0.0687225596951216,0.54385774858028,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Lawsonibacter"
"Lentihominibacter_faecis",0.0361312767388556,0,0,0,0.02810173977926,0.0361312767388556,-0.362361288020369,0.435089284239134,0.872975694828678,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_Family_XIII_Incertae_Sedis","Lentihominibacter"
"Lentihominibacter_hominis",0,0,0,0,0,0,0,0.10791997104595,0.601098416454041,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_Family_XIII_Incertae_Sedis","Lentihominibacter"
