"species","p_value","q_value","kingdom","phylum","class","order","family","genus"
"GGB51441_SGB71759",0.830489754157109,0.978028566757091,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB51441"
"GGB51454_SGB71784",0.0752980574365663,0.556301421405242,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","GGB51454"
"GGB51647_SGB4348",0.28302224011894,0.765196076518209,"Bacteria","Firmicutes","CFGB4806","OFGB4806","FGB4806","GGB51647"
"GGB51959_SGB72479",0.351500801798513,0.803646757280045,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","GGB51959"
"GGB52130_SGB14966",0.248264708580023,0.714357587789053,"Bacteria","Firmicutes","CFGB3047","OFGB3047","FGB3047","GGB52130"
"GGB58158_SGB79798",0.021545863451621,0.491380715359753,"Bacteria","Firmicutes","CFGB3004","OFGB3004","FGB3004","GGB58158"
"GGB58233_SGB79883",0.263034992385534,0.735302365077742,"Bacteria","Firmicutes","CFGB45628","OFGB45628","FGB45628","GGB58233"
"GGB6612_SGB9346",0.919721559982685,0.987553875399655,"Bacteria","Proteobacteria","CFGB2404","OFGB2404","FGB2404","GGB6612"
"GGB74463_SGB54347",0.872916258823158,0.979275237437679,"Bacteria","Firmicutes","CFGB9238","OFGB9238","FGB9238","GGB74463"
"GGB74505_SGB47518",0.425791063083798,0.864032904846014,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB74505"
"GGB74511_SGB47635",0.178081780930704,0.683379104739591,"Bacteria","Firmicutes","CFGB72939","OFGB72939","FGB72939","GGB74511"
"GGB87445_SGB15180",0.204062568939535,0.683379104739591,"Bacteria","Firmicutes","CFGB79294","OFGB79294","FGB79294","GGB87445"
"GGB9176_SGB14114",0.0280026498633589,0.52504790428527,"Bacteria","Firmicutes","CFGB2875","OFGB2875","FGB2875","GGB9176"
"GGB9186_SGB14125",0.744951169253264,0.958213041405174,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","GGB9186"
"GGB9198_SGB14137",0.193603200508827,0.683379104739591,"Bacteria","Firmicutes","CFGB2890","OFGB2890","FGB2890","GGB9198"
"GGB9210_SGB14149",0.875928499011296,0.979275237437679,"Bacteria","Firmicutes","CFGB2898","OFGB2898","FGB2898","GGB9210"
"GGB9211_SGB14151",0.388374309098727,0.834138454193711,"Bacteria","Firmicutes","CFGB2898","OFGB2898","FGB2898","GGB9211"
"GGB9237_SGB14179",0.200230997795332,0.683379104739591,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9237"
"GGB9240_SGB14182",0.986212936209116,0.998327945067383,"Bacteria","Firmicutes","CFGB2918","OFGB2918","FGB2918","GGB9240"
"GGB9293_SGB14250",0.210470723639779,0.683379104739591,"Bacteria","Firmicutes","CFGB2952","OFGB2952","FGB2952","GGB9293"
"GGB9301_SGB14262",0.177999260717298,0.683379104739591,"Bacteria","Firmicutes","CFGB2959","OFGB2959","FGB2959","GGB9301"
"GGB9342_SGB14306",0.181699259280991,0.683379104739591,"Bacteria","Firmicutes","CFGB2982","OFGB2982","FGB2982","GGB9342"
"GGB9345_SGB14311",0.134898051322617,0.637696412218869,"Bacteria","Firmicutes","CFGB10477","OFGB10477","FGB10477","GGB9345"
"GGB9347_SGB14313",0.0464942422744386,0.52504790428527,"Bacteria","Firmicutes","CFGB2984","OFGB2984","FGB2984","GGB9347"
"GGB9365_SGB14341",0.543155811331171,0.908954623044,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","GGB9365"
"GGB9412_SGB14770",0.120985785621306,0.606080673343719,"Bacteria","Actinobacteria","CFGB2992","OFGB2992","FGB2992","GGB9412"
"GGB9453_SGB14844",0.176365810339509,0.683379104739591,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9453"
"GGB9453_SGB14845",0.0178727789139837,0.491380715359753,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9453"
"GGB9469_SGB14862",0.904893349881157,0.984972407392763,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9469"
"GGB9474_SGB14868",0.950302674818022,0.998327945067383,"Bacteria","Firmicutes","CFGB3009","OFGB3009","FGB3009","GGB9474"
