"Row.names","irbd_BIOME169225","irbd_control_BIOME169229","irbd_BIOME171096","irbd_control_BIOME172176","irbd_BIOME172204","irbd_control_BIOME172208","irbd_BIOME172212","irbd_control_BIOME172216","irbd_BIOME181988","irbd_control_BIOME181992","irbd_BIOME182072","irbd_control_BIOME182743","irbd_BIOME182783","irbd_control_BIOME182787","irbd_BIOME186317","irbd_control_BIOME186321","irbd_BIOME186337","irbd_control_BIOME186341","irbd_BIOME186357","irbd_control_BIOME186361","median_g1","median_g2","log2fc","p_value","q_value","kingdom","phylum","class","order","family","genus","category","cohens_d","ci_low","ci_high","p_effect_size"
"GGB9618_SGB15064",0.0240106364844072,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119585451687017,0,0,0,0,0,0,0,0,0.391499732575128,0.720604195271094,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9618","All",0.444195911120255,-0.218702849782661,1.0851759251608,0.180907015870764
"Clostridium_methylpentosum",0,0,0,0,0,0,0,0,0,0.0140004559735378,0,0.00669332985510093,0,0,0,0,0.00543141695028999,0,0,0,0,0,0,0.242298890524989,0.643077390399694,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillospiraceae_unclassified","All",-0.291324746842597,-0.917534918867579,0.350108541603617,0.179353665101935
"Roseburia_intestinalis",0.0269049159665719,0.0383930331120863,0.0383330091476519,0.0345582857873254,0.0100251387587993,0.0488640899560946,0,0.013715382597795,0.0196837515566015,0.109934555530621,0.0587108143663871,0,0,0.0277830615932503,0.0164415428262258,0.0150105611019972,0,0,0.00812413020900569,0.0101933119737143,0.0132333407925125,0.0213968113476238,-0.692389597361705,0.276563223910469,0.662177800338482,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","All",-0.31920828421083,-0.947539941400991,0.325656159340675,0.17818384250636
"Lachnotalea_sp_AF33_28",0,0,0,0.0102763659047291,0,0,0.00744990075304283,0,0,0.0128455845641629,0,0,0,0,0,0,0.00828260639597993,0.00825842589189572,0,0.00988449248569557,0,0,0,0.36393114571143,0.704713270645808,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnotalea","All",-0.404473913187347,-1.04088590931856,0.252236085507301,0.177556272009288
"GGB3353_SGB4437",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00742973823157317,0,0.0171268417633096,0.00759612465652623,0,0,0,0,0,0,0.216335853905412,0.63570185279367,"Bacteria","Firmicutes","CFGB1374","OFGB1374","FGB1374","GGB3353","All",-0.261890862931898,-0.886144222220528,0.376165200859696,0.17412377030772
"GGB9261_SGB14209",0.0498824882614443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023108331615658,0,0,0,0,0,0,0,0,0.401713583757033,0.723827903541498,"Bacteria","Firmicutes","CFGB2932","OFGB2932","FGB2932","GGB9261","All",0.438868247078949,-0.223176493938216,1.07920643188784,0.173828463685908
"GGB4597_SGB6359",0.0109226700308724,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00739601189305641,0.0496005760071918,0,0,0,0,0,0,0,0.166863295363513,0.623849173981767,"Bacteria","Firmicutes","CFGB1765","OFGB1765","FGB1765","GGB4597","All",-0.221032261292088,-0.843054047927134,0.412761443808535,0.171883347272841
"Anaerobutyricum_hallii",0.134894777662766,0.149422846890579,0.116188808897878,0.14413487758992,0.227089003693394,0,0.225551245063383,0.116792995941135,0.211447570602954,0.126980201280382,0.0172345437066375,0,0.2141611609567,0.161374001613139,0,0.138186977241029,0,0.0788363481389345,0.101706066662932,0.0906703093365832,0.125541793280322,0.121886598610759,0.0426213362849834,0.191154432082178,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerobutyricum","All",0.236433157330468,-0.398908348624713,0.859229640953126,0.16990456184262
"Odoribacter_laneus",0,0,0,0,0,0,0.0116062929048564,0.0377568103034383,0,0,0.0161407156405824,0,0,0,0.187993296786149,0,0.13268867635378,0.134206519573128,0,0,0,0,0,0.260646586765024,0.650512032222878,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","All",0.290657532510001,-0.350696397464686,0.916820060115234,0.169728872557218
"Oscillibacter_sp_ER4",0.0873923457342842,0.154671526833935,0.0544833556410064,0.0731157878050735,0,0,0,0,0.0774673852720992,0.0436670503608348,0.0358406237972265,0,0,0.0632980869980768,0.0263412299738237,0.0363659595846258,0,0.0360286339796567,0,0,0.0131706149869119,0.0361972967821412,-1.45717033468467,0.335630997943349,0.690000859087193,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter","All",-0.357258853830436,-0.988902077518218,0.292643788905582,0.169389975488326
