"species","irbd_BIOME186337","irbd_control_BIOME186341","irbd_BIOME186357","irbd_control_BIOME186361","median_g1","median_g2","log2fc","p_value","q_value","kingdom","phylum","class","order","family","genus"
"Blautia_faecis",0.0917611367273082,0.122473087615953,0.0917978706568508,0.0548919428847698,0.0917795036920795,0.117328500156843,-0.354241305913672,0.617087073371558,0.851561327719529,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_glucerasea",0.0209371452352795,0.0200438040406995,0.00475396506251339,0.0665638069669908,0.0589021830535381,0.0437989612227547,0.427255998671519,0.624561137364895,0.857497692093061,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_hansenii",0,0,0.058104213815991,0,0,0,0,0.652331149041685,0.86928291127953,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_hydrogenotrophica",0.00672314517393093,0.039389126761398,0.0485040803706909,0,0,0.00677768726010466,-8.41231169594412,0.827052513606111,0.945884769327044,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_luti",0,0,0,0.0152682067524523,0.0684811641277343,0,11.7453333642374,0.0030762195475808,0.309507866839084,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_massiliensis",0.111172994500475,0.051875958299281,0.17699631833126,0.0896297388867457,0.111605079494131,0.093949490432376,0.248396987256994,0.021254184815171,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_obeum",0.0545531953435006,0.0747972554451127,0.0925164730982897,0.0389790904273089,0.0785871021470592,0.0960474101406438,-0.289387587114278,0.670084226335977,0.87318497635374,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_producta",0.00830069770931841,0,0.0136569289062614,0,0,0,0,0.204186569686768,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_schinkii",0,0,0,0,0,0,0,0.796632723201973,0.938433347931924,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_SGB101324",0,0,0,0,0,0,0,0.37105863169872,0.707296120256689,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_SGB4815",0,0.0421479883503393,0.0364223462059001,0.0227615798632064,0.0470089572689606,0.0273130174342499,0.782905656970669,0.149670606442948,0.623849173981767,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_sp_MCC283",0,0.0399906673404791,0,0,0,0,0,0.950001761137206,0.988832259693554,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_sp_OF03_15BH",0,0,0,0,0.0057446898961653,0,8.17450890663531,0.081937266953051,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_stercoris",0,0,0,0,0,0,0,0.823212058954322,0.943346982929685,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
