"species","p_value","q_value","kingdom","phylum","class","order","family","genus"
"GGB2980_SGB3962",0.263969983648536,0.653917258325676,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_Family_XIII_Incertae_Sedis","GGB2980"
"GGB2982_SGB3964",0.07215708114142,0.600750593146475,"Bacteria","Firmicutes","CFGB1217","OFGB1217","FGB1217","GGB2982"
"GGB2987_SGB3969",0.120136150050009,0.617433120221533,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_Family_XIII_Incertae_Sedis","GGB2987"
"GGB2998_SGB3988",0.132927828382245,0.623849173981767,"Bacteria","Firmicutes","CFGB1226","OFGB1226","FGB1226","GGB2998"
"GGB2998_SGB3989",0.174027966642432,0.63570185279367,"Bacteria","Firmicutes","CFGB1226","OFGB1226","FGB1226","GGB2998"
"GGB3000_SGB3991",0.644684043280574,0.866938131260863,"Bacteria","Firmicutes","CFGB1227","OFGB1227","FGB1227","GGB3000"
"GGB3001_SGB3992",0.525514707342783,0.790310296746392,"Bacteria","Firmicutes","CFGB1227","OFGB1227","FGB1227","GGB3001"
"GGB3002_SGB3993",0.0237616542328898,0.600750593146475,"Bacteria","Firmicutes","CFGB1227","OFGB1227","FGB1227","GGB3002"
"GGB3005_SGB3996",0.487169803734731,0.775521660539883,"Bacteria","Firmicutes","CFGB1227","OFGB1227","FGB1227","GGB3005"
"GGB3033_SGB4029",0.911390228920486,0.979509888104232,"Bacteria","Firmicutes","CFGB1249","OFGB1249","FGB1249","GGB3033"
"GGB3034_SGB4030",0.642019631080731,0.866938131260863,"Bacteria","Firmicutes","CFGB1249","OFGB1249","FGB1249","GGB3034"
"GGB3058_SGB4060",0.935493871317614,0.988832259693554,"Bacteria","Firmicutes","CFGB1260","OFGB1260","FGB1260","GGB3058"
"GGB3061_SGB4063",0.0521910908132233,0.600750593146475,"Bacteria","Firmicutes","CFGB1262","OFGB1262","FGB1262","GGB3061"
"GGB3109_SGB4121",0.260402052220881,0.650512032222878,"Bacteria","Firmicutes","CFGB1292","OFGB1292","FGB1292","GGB3109"
"GGB31234_SGB14869",0.605032675726957,0.845234758810791,"Bacteria","Firmicutes","CFGB3009","OFGB3009","FGB3009","GGB31234"
"GGB3167_SGB4181",0.497610482298433,0.781580197530073,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB3167"
"GGB3175_SGB4191",0.323361434672707,0.690000859087193,"Bacteria","Firmicutes","CFGB1325","OFGB1325","FGB1325","GGB3175"
"GGB3204_SGB4228",0.690385857359518,0.883361630351026,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB3204"
"GGB3256_SGB4303",0.0516745340257723,0.600750593146475,"Bacteria","Firmicutes","CFGB14936","OFGB14936","FGB14936","GGB3256"
"GGB3277_SGB4327",0.0719052814449211,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","GGB3277"
"GGB3278_SGB4328",0.260510338376764,0.650512032222878,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","GGB3278"
"GGB32900_SGB53446",0.0797525372999989,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB32900"
"GGB3303_SGB4364",0.213535145936251,0.63570185279367,"Bacteria","Firmicutes","CFGB4648","OFGB4648","FGB4648","GGB3303"
"GGB3304_SGB4365",0.0786636859512013,0.600750593146475,"Bacteria","Firmicutes","CFGB1354","OFGB1354","FGB1354","GGB3304"
"GGB3304_SGB4367",0.422361827906338,0.727400925838693,"Bacteria","Firmicutes","CFGB1354","OFGB1354","FGB1354","GGB3304"
"GGB3321_SGB4394",0.165250816414168,0.623849173981767,"Bacteria","Firmicutes","CFGB1359","OFGB1359","FGB1359","GGB3321"
"GGB33469_SGB15236",0.711465434872674,0.897330066680953,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB33469"
"GGB33469_SGB15237",0.740210658736645,0.908300162491424,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB33469"
"GGB33512_SGB15201",0.135768856098888,0.623849173981767,"Bacteria","Firmicutes","CFGB3054","OFGB3054","FGB3054","GGB33512"
"GGB33512_SGB15203",0.293679999713651,0.675594342187795,"Bacteria","Firmicutes","CFGB3054","OFGB3054","FGB3054","GGB33512"
"GGB3352_SGB62935",0.0617505215136399,0.600750593146475,"Bacteria","Firmicutes","CFGB1374","OFGB1374","FGB1374","GGB3352"
"GGB3353_SGB4437",0.216335853905412,0.63570185279367,"Bacteria","Firmicutes","CFGB1374","OFGB1374","FGB1374","GGB3353"
"GGB33544_SGB53490",0.168407501974705,0.623849173981767,"Bacteria","Firmicutes","CFGB3070","OFGB3070","FGB3070","GGB33544"
"GGB33586_SGB53517",0.993309590104557,0.996693949866413,"Bacteria","Firmicutes","CFGB3038","OFGB3038","FGB3038","GGB33586"
"GGB34197_SGB53486",0.733962031783799,0.905190390364694,"Bacteria","Firmicutes","CFGB3071","OFGB3071","FGB3071","GGB34197"
"GGB3433_SGB4573",0.86720832752552,0.961468199043887,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3433"
"GGB3433_SGB4574",0.437931491159175,0.738789364291147,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3433"
"GGB3444_SGB4594",0.0406406156452967,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3444"
"GGB3446_SGB4597",0.481685476521031,0.77305925250923,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3446"
"GGB3475_SGB4638",0.398942416838311,0.723006410823893,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3475"
"GGB3478_SGB4643",0.842784997797371,0.954616084043561,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","GGB3478"
"GGB34797_SGB14322",0.0738946476363917,0.600750593146475,"Bacteria","Actinobacteria","CFGB12107","OFGB12107","FGB12107","GGB34797"
"GGB3480_SGB4648",0.64024244814203,0.866902993001507,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","GGB3480"
"GGB3486_SGB4658",0.442047580895004,0.738789364291147,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","GGB3486"
"GGB34900_SGB14891",0.151601032679189,0.623849173981767,"Bacteria","Firmicutes","CFGB77202","OFGB77202","FGB77202","GGB34900"
"GGB3491_SGB4665",0.86154726359219,0.959265289708507,"Bacteria","Firmicutes","CFGB1425","OFGB1425","FGB1425","GGB3491"
"GGB3496_SGB4671",0.718465069399992,0.898462687636083,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3496"
"GGB3497_SGB4672",0.71686592929742,0.898462687636083,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3497"
"GGB3510_SGB4687",0.0154584000899784,0.600750593146475,"Bacteria","Firmicutes","CFGB79245","OFGB79245","FGB79245","GGB3510"
"GGB3511_SGB4688",0.419533676723913,0.727400925838693,"Bacteria","Firmicutes","CFGB28775","OFGB28775","FGB28775","GGB3511"
"GGB3518_SGB4697",0.724619391080224,0.901736935762208,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3518"
"GGB3534_SGB4722",0.113702394926579,0.611945762102077,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3534"
"GGB3537_SGB4727",0.345522675621608,0.690000859087193,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3537"
"GGB3538_SGB4728",0.24456593454929,0.643077390399694,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3538"
"GGB3550_SGB4746",0.725676243720351,0.901736935762208,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","GGB3550"
"GGB3550_SGB4747",0.200027910152243,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","GGB3550"
"GGB35597_SGB49163",0.734602727664387,0.905190390364694,"Bacteria","Firmicutes","CFGB9828","OFGB9828","FGB9828","GGB35597"
"GGB3569_SGB4776",0.538129903022272,0.796378173065624,"Bacteria","Firmicutes","CFGB9718","OFGB9718","FGB9718","GGB3569"
