"Row.names","irbd_BIOME169225","irbd_control_BIOME169229","irbd_BIOME171096","irbd_control_BIOME172176","irbd_BIOME172204","irbd_control_BIOME172208","irbd_BIOME172212","irbd_control_BIOME172216","irbd_BIOME181988","irbd_control_BIOME181992","irbd_BIOME182072","irbd_control_BIOME182743","irbd_BIOME182783","irbd_control_BIOME182787","irbd_BIOME186317","irbd_control_BIOME186321","irbd_BIOME186337","irbd_control_BIOME186341","irbd_BIOME186357","irbd_control_BIOME186361","median_g1","median_g2","log2fc","p_value","q_value","kingdom","phylum","class","order","family","genus","category"
"Clostridia_bacterium_UC5_1_1D1",0,0.0347834528245831,0.00693547195388446,0.00768122051300343,0,0.0141638050947908,0,0,0,0.0107053423609822,0,0.00778467841977566,0,0,0,0,0,0,0,0,0,0.00384061025650172,-7.59608897265637,0.0195683298975472,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Clostridia_unclassified","Clostridia_unclassified","Clostridia_unclassified","iRBD<Control"
"Enterocloster_bolteae",0,0.0164506709295574,0,0,0,0.0514571244553085,0,0,0,0.0372080434220921,0,0.0224585116423805,0,0,0,0,0,0,0.0239292630284613,0.00664835736470414,0,0.00332417868235207,-7.38890925647766,0.0389408028796243,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","iRBD<Control"
"Clostridiaceae_bacterium",0.0412451705569768,0.116462527604001,0.0372389701557587,0.0718035756753778,0.0371730672169855,0.167803441728403,0.0154699407453956,0.0641790503267524,0.0755802179378624,0.112784939702464,0.0643826485343161,0,0.0449862626492687,0.110170897766016,0.104448135531446,0.0893989357513743,0.0164597832854787,0.0275262034537735,0.0601378408382669,0.0772324477327733,0.0431157166031228,0.0833156917420738,-0.950052359095436,0.0393611074610374,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridiaceae_unclassified","iRBD<Control"
"GGB3653_SGB4964",0.0969360266614296,0.0882741397528677,0.00610741056197791,0.0227901253142348,0.0706498489981428,0.0658084137250025,0.0442784457889021,0.0480246983303061,0.0311611030934761,0.0314185385538885,0.0266302053413606,0.0624729897238324,0.059879726337805,0.128384807987992,0.0970071155622856,0.0751787224533917,0.0298255552046763,0.0336218185354663,0.0486267884192943,0.152831588396638,0.0464526171040982,0.0641407017244174,-0.465309433609258,0.0399072814321382,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3653","iRBD<Control"
