# Pathway	BIOME168077_S1_done_Abundance	BIOME168081_S2_done_Abundance	BIOME168093_S3_done_Abundance	BIOME168302_S4_done_Abundance	BIOME168314_S6_done_Abundance	BIOME168318_S5_done_Abundance	BIOME168326_S7_done_Abundance	BIOME168631_S37_done_Abundance	BIOME168635_S8_done_Abundance	BIOME168639_S9_done_Abundance	BIOME168643_S10_done_Abundance	BIOME168647_S11_done_Abundance	BIOME168651_S12_done_Abundance	BIOME168655_S13_done_Abundance	BIOME168667_S14_done_Abundance	BIOME168671_S15_done_Abundance	BIOME169177_S17_done_Abundance	BIOME169181_S16_done_Abundance	BIOME169201_S19_done_Abundance	BIOME169205_S18_done_Abundance	BIOME169225_S20_done_Abundance	BIOME169229_S21_done_Abundance	BIOME169624_S22_done_Abundance	BIOME169628_S23_done_Abundance	BIOME169715_S24_done_Abundance	BIOME169719_S25_done_Abundance	BIOME169727_S26_done_Abundance	BIOME169731_S27_done_Abundance	BIOME169735_S28_done_Abundance	BIOME169739_S29_done_Abundance	BIOME169763_S30_done_Abundance	BIOME169767_S31_done_Abundance	BIOME169832_S32_done_Abundance	BIOME169848_S33_done_Abundance	BIOME171068_S34_done_Abundance	BIOME171072_S35_done_Abundance	BIOME171096_S36_done_Abundance	BIOME172176_S38_done_Abundance	BIOME172196_S39_done_Abundance	BIOME172200_S40_done_Abundance	BIOME172204_S41_done_Abundance	BIOME172208_S42_done_Abundance	BIOME172212_S43_done_Abundance	BIOME172216_S44_done_Abundance	BIOME181988_S57_done_Abundance	BIOME181992_S58_done_Abundance	BIOME182044_S45_done_Abundance	BIOME182048_S46_done_Abundance	BIOME182052_S47_done_Abundance	BIOME182060_S48_done_Abundance	BIOME182064_S49_done_Abundance	BIOME182068_S50_done_Abundance	BIOME182072_S51_done_Abundance	BIOME182743_S52_done_Abundance	BIOME182751_S53_done_Abundance	BIOME182755_S66_done_Abundance	BIOME182759_S65_done_Abundance	BIOME182763_S67_done_Abundance	BIOME182767_S74_done_Abundance	BIOME182783_S61_done_Abundance	BIOME182787_S54_done_Abundance	BIOME182791_S56_done_Abundance	BIOME182795_S55_done_Abundance	BIOME186176_S60_done_Abundance	BIOME186180_S59_done_Abundance	BIOME186184_S62_done_Abundance	BIOME186317_S63_done_Abundance	BIOME186321_S64_done_Abundance	BIOME186337_S70_done_Abundance	BIOME186341_S73_done_Abundance	BIOME186345_S68_done_Abundance	BIOME186349_S69_done_Abundance	BIOME186357_S71_done_Abundance	BIOME186361_S72_done_Abundance	BIOME186365_S75_done_Abundance	BIOME186381_S76_done_Abundance	BIOME186385_S77_done_Abundance
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.000470763	0	0	0	0	0	0	4.25233e-05	0	0.000385898	9.42599e-05	0	0	0	0.000893509	0	0	0	0	0	0.000363717	0.000470826	0.000121304	0.000129189	0.000348839	8.53341e-05	0	0	0	2.36562e-05	4.83251e-05	0	0.000379959	1.7621e-05	0.000148338	0	2.49122e-05	0	0	0	0	0	0	0.000229022	2.09914e-05	0	0.000114913	0	0	0	9.53165e-06	0.000354756	0.000136247	1.23724e-05	5.66634e-05	0.00011081	0	5.251e-05	0	0	0	0.000608004	0	0	0	0.000146875	0.000245142	0	0	0.000214054	0	2.57904e-05	0.000121394	0.000141616	0.000263067	0	0
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0.00155804	0	0	0	0	0	0	0.000309255	0	0.000739034	0.000265557	0	0	0	0.00288869	0	3.8613e-05	2.05943e-05	0	0	0.000756649	0.000909657	0.000801455	0.00108528	0.000442244	0.000511597	0.000147816	0	0	0.000207849	0.000136979	1.61436e-05	0.00171574	0.000484833	0.000369642	0	0.000141815	0	0	0	3.96086e-05	5.84665e-05	0	0.000744068	0.000227581	0	0.000956006	0	0	0	0.000281734	0.0027968	0.000298283	3.38499e-05	9.83063e-05	0.000541328	0	0.000631617	0	0	0	0.00169194	0	0	0	0.000531114	0.00148929	0	0	0.000497878	0	0.000107869	0.000451066	0.000308643	0.000601504	0	0
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.00393546	0.00233349	0.00100821	0.00136153	0.00143345	0.000831632	0.000695008	0.000689084	0.000842103	0.00267847	0.00201665	0.00207675	0.0001459	0.00127763	0.00382353	0.001046	0.00372192	0.00187279	0.000365541	0.000512526	0.00228105	0.0030722	0.00320314	0.00297314	0.00278728	0.00248059	0.00141898	0.0003834	0.000742983	0.00226646	0.00125047	0.00393828	0.00463035	0.00280149	0.00146054	0.000420548	0.000948978	0.000673849	0.000284015	0.000249979	0.000511974	0.00117119	0.000167421	0.00211751	0.000878286	0.00201511	0.00323149	0.00173125	0.000605914	0.000171028	0.00251178	0.00381423	0.000811663	0.0048745	0.00308643	0.002947	0.00198046	0.00321755	0.00268575	0.00142946	0.0022048	0.00303537	0.00123363	0.00168979	9.75368e-05	0.0047849	0.00372038	0.000409203	0.000766534	0.00240946	0	0.00172381	0.00205896	0.00289367	0.00179458	0.00228168	0.00303288
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0	0	2.67392e-05	0.000512905	0	0	0	0.000112353	0	0.000563265	0	0.000137056	0	0.00099896	0	0.000289597	0.000169399	0	6.3209e-05	7.97358e-05	0	0	0	0	0.000412297	0	0	0	0.000328528	0.00030937	0	0.00031585	0.000755419	0	0	0.000151689	0.000280189	0	0	0	0	0.000269621	4.43221e-05	0.000207546	0.000134197	0	0.000638385	0.00134046	0.000401926	0	0.00076975	7.74643e-05	0	0.0037471	0	0.000183899	0.000371417	0	0	0.00153262	0.00105634	0	0	0	0	0.00018348	0	0	0	0.00033784	0	0	0.00057273	9.16569e-05	0.000154089	0.000243775	0.000290832
FERMENTATION-PWY: mixed acid fermentation	0.00324924	0.00312903	0.00154827	0.0020571	0.00141471	0.00247119	0.00301171	0.0018879	0.002654	0.00265718	0.00279437	0.00116554	0	0.00207375	0.00305576	0.00172087	0.00120551	0.00267251	0.000812025	0.0020513	0.00243537	0.0021782	0.00184274	0.00265837	0.00112392	0.00265246	0.00424966	0.00292219	0.00339471	0.00207181	0.00169695	0.00155382	0.00308299	0.00236246	0.00261135	0.00172253	0.00119226	0.00140097	0.00319585	0.00181019	0.00283485	0.00236997	0.00233822	0.00309269	0.00251835	0.00167632	0.00214759	0.00134796	0.00187289	0.00113288	0.000544311	0.00478614	0.00203586	0.0011663	0.000776693	0.00205505	0.00148654	0.00403176	0.00298511	0.00269728	0.00122101	0.00296409	0.00280612	0.00264228	0.0026924	0.00180616	0.00367463	0.00241618	0.00142699	0.00257029	0	0.00182791	0.00131291	0.00221735	0.0024551	0.00174734	0.00249781
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.000747906	0.00107527	0.000418296	0.000241682	0.000872346	0.000585381	0.00153349	0.00097451	0.000633162	0.000824166	0.00205368	0.000526061	0.000255763	0.00229617	0.00138473	0.000830471	0.000370073	0.000900271	0.00114332	0.000834518	0.000862778	0.00114253	0.00220955	0.000662781	0.000484437	0.00118961	0.00188985	0.00102477	0.000658407	0.000706849	0.00127735	0.000767752	0.000933367	0.000746531	0.000590562	0.00133188	0.000559877	0.000926947	0.000344501	0.000776707	0.00144514	0.000434151	0.00120516	0.00127784	0.00064383	0.000542013	0.00112809	0.000697387	0.000468825	0.00148145	0.001393	0.00226917	0.00254925	0.000306733	0.000265064	0.000630616	0	0.00067912	0.00195852	0.000430238	0.0026133	0.0028644	0.000890424	0.00077225	0.00101875	0.000497754	0.000991815	0.00140314	0	0.00109335	0	0.000613328	0.000777106	0.000460205	0.000943814	7.49158e-05	0.000509388
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.00184512	0.000860695	0.000261217	0.00119692	0.000840315	0.000117662	0.000357277	0.000719438	0.00099104	0.00113331	0.000889327	0.00164012	0	0.0001286	0.000998158	0.000503602	0.00118836	0.000815886	0.000265764	0.000807036	0.0012138	0.00176062	0.00142248	0.00166431	0.00149306	0.00109618	0.000330072	0.00104823	0.00030766	0.00103618	0.00114907	0.000719435	0.00226964	0.00160205	0.00102456	0.000760672	0.000642114	0.00142843	0.000617833	0.000522286	0.000705282	0.000946443	0.000969249	0.00152105	0.000564999	0.00178038	0.00131259	0.000860301	0.000790492	0.000361816	0.00076166	0.00286273	0.00052245	0.000371986	0.00149601	0.00139967	0.000537125	0.00118848	0.000830557	0.000220653	0.000850146	0.00180055	0.000791204	0.00102519	0.000735229	0.00141703	0.00229169	0.000512485	0.000679173	0.00139666	0	0.000505387	0.00102293	0.00229712	0.00149338	0.000345094	0.000473653
FUCCAT-PWY: fucose degradation	0.00166987	0.000478538	0.000124589	0.00135038	0.000523323	0.0014191	0.000729206	0.000792366	0.000980082	0.000660601	0.000747336	0.00106765	0.000928351	0.000498194	0.000717197	0.000665892	0.00121382	0.00198303	0.000216104	0.000568062	0.00130391	0.00188866	0.00115957	0.00175507	0.00198985	0.00133635	0.000517777	0.00146179	0.000615083	0.000940743	0.00063581	0.000488955	0.00168965	0.00199239	0.000662145	0.00122528	0.000420125	0.000920258	0.0014347	0.00116676	0.00101508	0.00054822	0.000732477	0.00115977	0.00121951	0.00112826	0.00154587	0.000517278	0.000721477	0.000484717	0.0013894	0.00267078	0.000739462	0.000965928	0.00108054	0.000981838	0.000261713	0.00244285	0.000508963	0.000909143	0.00105047	0.00199915	0.00146635	0.000825927	0.000556031	0.00184593	0.00200608	0.00109242	0.000720212	0.00179868	0	0.00121837	0.000612591	0.00175403	0.00227445	0.00133276	0.000256961
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.00121539	0.000747598	0.000550092	0.000277557	0.000918446	0.000106652	4.36875e-05	0.000359926	0.000550058	0.000867383	0.000996612	0.00101127	0.000143592	0.000653627	0.000983585	0.000655778	0.00121415	0.000380053	0.000189816	0.000180658	0.00112115	0.00135862	0.000859849	0.000869428	0.000405202	0.000728282	0.000185515	0.000882579	0.00016884	0.000483349	0.000844098	0.000542818	0.00117907	0.00104624	0.000450926	0.000257807	0.000482742	0.000252888	0.000190501	0.000394336	3.78057e-05	0.000764973	5.57867e-05	0.000638361	0.000506863	0.000559923	0.000690856	0.000343771	0.000242444	0.000673237	0.000501317	0.00226195	0.000365361	0.000154766	0.000550486	0.000889146	0	0.000482664	0.000432206	0.000119409	0.000777472	0.00121467	0.000351666	0.000473006	0.000159332	0.000553547	0.00128308	0.000597184	0.000340788	0.00080767	0	0.000308044	0.000597253	0.00110536	0.000770646	0	0.000558112
GALACTARDEG-PWY: D-galactarate degradation I	0.00209726	7.175e-05	9.86112e-05	5.44352e-05	0.000130008	3.31652e-05	6.89152e-05	0.000514252	6.32484e-05	0.000534727	0.000497348	0	0.000212917	0.000568582	0.00213034	0	0.000422208	0.000104694	0	8.13645e-05	0.00110252	0.00155147	0.000965918	0.0015881	0.0003746	0.000775292	9.59487e-05	0.00013083	0	0.000293931	0.000249802	0.000200362	0.00215787	0.000517392	0.000129934	3.68416e-05	5.45933e-05	5.03564e-05	0.000371538	0.000171261	0.000186238	0.00029001	0	0.00112147	0.000515771	2.91283e-05	0.000772936	0.000116737	5.33811e-05	0.000106543	0.000517497	0.00407034	0.000363516	0.000111403	0.0004973	0.000569632	7.31638e-05	0.000899166	8.15793e-05	3.61531e-05	0	0.00175787	0.000242714	0.000171859	0.000300401	0.000895788	0.00204621	0.000136408	0	0.000359305	0	0.000307588	0.000679735	0.000708579	0.00118416	7.50505e-05	0.000140673
